variant,filepath,n_total,n_denom_used_for_accuracy,n_correct,n_valid,n_invalid,accuracy,invalid_rate,avg_latency_ms,median_latency_ms,p95_latency_ms,total_input_tokens,total_output_tokens,avg_tokens_per_question,total_estimated_cost_usd,avg_cost_per_question_usd,pipeline,memory,models
v0,output/predictions_v0_1785504060.jsonl,200,200,185,199,1,0.925,0.005,13096.661169528961,7694.21660900116,39679.291713237675,52867,99803,763.35,,,reasoning,OFF,reasoning: deepseek/deepseek-v4-flash
v1,output/predictions_v1_1785507364.jsonl,200,200,178,198,2,0.89,0.01,17812.45989203453,9750.989317893982,52344.404542446086,243132,141079,1921.055,,,retrieval(top_k=5) -> reasoning,OFF,"retrieval: bge-m3, reasoning: deepseek/deepseek-v4-flash"
v2-qr,output/predictions_v2-qr_1785517306.jsonl,200,200,176,200,0,0.88,0.0,53804.676142930984,38447.02589511871,143137.75094747538,1039661,474171,7569.16,,,retrieval(top_k=5) -> reasoning -> verifier(max_iterations=3) -> query_rewriter,OFF,"retrieval: bge-m3, reasoning: deepseek/deepseek-v4-flash, verifier: deepseek/deepseek-v4-flash, query_rewriter: deepseek/deepseek-v4-flash"
v3-qr,output/predictions_v3-qr_1785466972.jsonl,199,199,180,199,0,0.9045226130653267,0.0,59024.98531940595,38916.3613319397,165144.6901321411,1037499,518849,7820.844221105528,,,retrieval(top_k=5) -> reasoning -> verifier(max_iterations=3) -> query_rewriter,STM(scope=loop) + LTM(mode=read_only),"retrieval: bge-m3, reasoning: deepseek/deepseek-v4-flash, verifier: deepseek/deepseek-v4-flash, query_rewriter: deepseek/deepseek-v4-flash"
